Trace 0: 062700c0 [00000000/00000000/00011003/ff000000]
Trace 0: 062701c0 [00000000/00000028/00011003/ff000000]
Trace 0: 062701c0 [00000000/00000028/00011003/ff000000]
Trace 0: 06270380 [00000000/0000003a/00011003/ff000000]
Trace 0: 06270480 [00000000/00000054/00011003/ff000000]
Trace 0: 06270480 [00000000/00000054/00011003/ff000000]
Trace 0: 062705c0 [00000000/00000060/00011003/ff000000]
Trace 0: 062706c0 [00000000/0000006c/00011003/ff000000]
Trace 0: 062707c0 [00000000/0000007c/00011003/ff000000]
Trace 0: 06270bc0 [00000000/000000c8/00011003/ff000000]
Trace 0: 06270cc0 [00000000/000000ce/00013003/ff000000]
Trace 0: 06270dc0 [00000000/000000d8/00013003/ff000000]
Trace 0: 06270ec0 [00000000/000000e0/00013003/ff000000]
Trace 0: 06270f80 [00000000/0000060a/00013003/ff000000] main
Trace 0: 062712c0 [00000000/00001ba0/00013003/ff000000] ck_uart_open
Trace 0: 062713c0 [00000000/00001ba2/00013003/ff000000] ck_uart_open
Trace 0: 06271540 [00000000/00000632/00013003/ff000000] main
Trace 0: 06271640 [00000000/00001bb4/00013003/ff000000] ck_uart_init
Trace 0: 06271780 [00000000/00001bbe/00013003/ff000000] ck_uart_init
Trace 0: 06271cc0 [00000000/00001a7c/00013003/ff000000] ck_uart_set_parity
Trace 0: 06271e00 [00000000/00001a84/00013003/ff000000] ck_uart_set_parity
Trace 0: 06271f00 [00000000/00001a8a/00013003/ff000000] ck_uart_set_parity
Trace 0: 06272000 [00000000/00001a90/00013003/ff000000] ck_uart_set_parity
Trace 0: 062721c0 [00000000/00001c12/00013003/ff000000] ck_uart_init
Trace 0: 06272300 [00000000/00001ae8/00013003/ff000000] ck_uart_set_wordsize
Trace 0: 06272440 [00000000/00001af0/00013003/ff000000] ck_uart_set_wordsize
Trace 0: 06272540 [00000000/00001b1a/00013003/ff000000] ck_uart_set_wordsize
Trace 0: 06272640 [00000000/00001b20/00013003/ff000000] ck_uart_set_wordsize
Trace 0: 06272800 [00000000/00001c18/00013003/ff000000] ck_uart_init
Trace 0: 06272980 [00000000/00001c4c/00013003/ff000000] ck_uart_init
Trace 0: 06272b40 [00000000/00001c24/00013003/ff000000] ck_uart_init
Trace 0: 06272e40 [00000000/0000063c/00013003/ff000000] main
Trace 0: 06272f00 [00000000/00001908/00013003/ff000000] puts
Trace 0: 06273100 [00000000/00001916/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273440 [00000000/00001c76/00013003/ff000000] ck_uart_putc
Trace 0: 062735c0 [00000000/00001c82/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
Trace 0: 06273300 [00000000/00001c72/00013003/ff000000] ck_uart_putc
Trace 0: 06273700 [00000000/0000191e/00013003/ff000000] puts
Trace 0: 06273200 [00000000/000005b8/00013003/ff000000] fputc
